Operation_Date,Year,Month,Quarter,Day_of_Week,Weekend,Peak_Season,Warehouse_ID,Warehouse_Type,Warehouse_Area_sq_m,Temperature_C,Humidity_Percentage,Weather_Condition,Warehouse_Occupancy_Percentage,Total_Shipments,Total_Cargo_Weight_kg,Total_Cargo_Volume_m3,Number_of_Flights,Forklift_Operating_Hours,Conveyor_Operating_Hours,HVAC_Operating_Hours,Equipment_Utilization_Percentage,Staff_Count,Staff_Availability_Percentage,Energy_Consumption_kWh
2022-01-06,2022,1,1,Thursday,No,No,WH006,General,20006,30.5,48,Dust Storm,79,240,29249.93,145.65,14,7.7,4.0,5.0,71.5,67,88.7,82.4
2022-01-06,2022,1,1,Thursday,No,No,WH005,General,20253,30.5,48,Dust Storm,69,192,19863.92,122.81,11,6.2,3.6,4.8,60.2,62,88.4,85.0
2022-01-06,2022,1,1,Thursday,No,No,WH004,General,24074,30.5,48,Dust Storm,90,255,31137.26,160.66,11,7.5,5.0,4.9,69.0,69,85.2,87.79
2022-01-06,2022,1,1,Thursday,No,No,WH001,General,23238,30.5,48,Dust Storm,66,264,27920.26,143.75,13,7.3,4.8,4.9,57.7,63,90.7,84.65
2022-01-06,2022,1,1,Thursday,No,No,WH003,General,18204,30.5,48,Dust Storm,80,331,39057.04,260.18,14,9.2,5.4,4.8,75.5,71,95.6,86.98
2022-01-06,2022,1,1,Thursday,No,No,LA001,Live Animal,11771,30.5,48,Dust Storm,34,7,250.45,2.61,1,1.1,0.0,4.7,19.1,11,91.2,134.16
2022-01-06,2022,1,1,Thursday,No,No,CW001,Cold,13828,30.5,48,Dust Storm,84,218,21232.7,79.82,12,6.5,2.4,10.3,60.7,49,97.2,189.37
2022-01-06,2022,1,1,Thursday,No,No,CW002,Cold,13143,30.5,48,Dust Storm,80,205,18755.27,65.67,9,5.7,2.4,10.7,56.2,42,91.9,178.73
2022-01-06,2022,1,1,Thursday,No,No,VW001,Valuable,4419,30.5,48,Dust Storm,36,19,213.42,1.53,1,1.5,0.4,3.1,18.9,16,97.2,65.05
2022-01-06,2022,1,1,Thursday,No,No,EX001,Express,14467,30.5,48,Dust Storm,61,130,1932.53,23.03,6,4.5,4.1,4.8,51.0,35,87.5,116.41
2022-01-06,2022,1,1,Thursday,No,No,DG001,Dangerous Goods,11016,30.5,48,Dust Storm,67,68,4303.03,13.44,3,2.3,0.5,4.3,40.0,21,86.0,114.34
2022-01-07,2022,1,1,Friday,Yes,No,WH006,General,20006,29.9,64,Cloudy,78,327,34358.48,193.84,19,8.9,6.1,4.6,77.2,66,96.3,86.89
2022-01-07,2022,1,1,Friday,Yes,No,WH005,General,20253,29.9,64,Cloudy,57,196,22842.71,148.97,9,6.3,3.1,4.4,48.3,52,96.0,85.99
2022-01-07,2022,1,1,Friday,Yes,No,WH004,General,24074,29.9,64,Cloudy,73,231,25244.28,136.28,9,6.8,3.9,4.8,63.0,54,93.8,88.11
2022-01-07,2022,1,1,Friday,Yes,No,WH003,General,18204,29.9,64,Cloudy,91,309,38534.67,214.65,12,8.9,5.0,4.9,82.8,74,95.4,91.92
2022-01-07,2022,1,1,Friday,Yes,No,WH001,General,23238,29.9,64,Cloudy,79,253,26541.39,127.41,14,7.6,4.3,4.3,70.3,60,94.5,81.49
2022-01-07,2022,1,1,Friday,Yes,No,WH002,General,18912,29.9,64,Cloudy,83,296,36853.8,204.84,14,8.8,5.2,4.4,78.4,57,88.3,88.22
2022-01-07,2022,1,1,Friday,Yes,No,LA001,Live Animal,11771,29.9,64,Cloudy,47,6,223.54,3.67,1,1.5,0.0,4.9,26.3,18,97.6,131.26
2022-01-07,2022,1,1,Friday,Yes,No,EX001,Express,14467,29.9,64,Cloudy,63,210,2969.03,20.09,9,5.9,6.9,4.7,54.3,44,88.4,111.21
2022-01-07,2022,1,1,Friday,Yes,No,DG001,Dangerous Goods,11016,29.9,64,Cloudy,39,41,3401.12,7.06,2,1.7,0.0,4.1,26.9,18,86.4,108.82
2022-01-07,2022,1,1,Friday,Yes,No,CW002,Cold,13143,29.9,64,Cloudy,94,209,20938.63,78.35,8,6.4,2.4,10.3,65.3,48,97.8,179.65
2022-01-07,2022,1,1,Friday,Yes,No,CW001,Cold,13828,29.9,64,Cloudy,69,126,12930.69,58.1,5,4.6,1.7,10.8,46.3,45,85.2,176.18
2022-01-07,2022,1,1,Friday,Yes,No,VW001,Valuable,4419,29.9,64,Cloudy,28,16,152.58,0.91,1,0.8,0.4,2.5,10.9,16,93.6,70.76
2022-01-08,2022,1,1,Saturday,Yes,No,WH002,General,18912,29.1,65,Sunny,64,181,19296.16,83.95,11,6.1,2.7,3.8,50.4,57,85.2,79.73
2022-01-08,2022,1,1,Saturday,Yes,No,WH006,General,20006,29.1,65,Sunny,62,194,19827.34,83.03,9,6.0,3.4,4.2,52.2,55,90.2,78.82
2022-01-08,2022,1,1,Saturday,Yes,No,WH005,General,20253,29.1,65,Sunny,93,269,23571.74,132.8,10,8.3,5.0,4.2,74.6,68,93.5,82.53
2022-01-08,2022,1,1,Saturday,Yes,No,WH004,General,24074,29.1,65,Sunny,88,301,31099.83,126.22,20,9.3,5.7,4.3,81.7,69,86.0,83.48
2022-01-08,2022,1,1,Saturday,Yes,No,WH003,General,18204,29.1,65,Sunny,63,241,25556.46,113.8,10,7.0,4.1,4.4,55.5,70,85.6,86.73
2022-01-08,2022,1,1,Saturday,Yes,No,WH001,General,23238,29.1,65,Sunny,91,281,24656.18,108.85,15,8.5,5.3,4.1,80.0,72,85.0,90.28
2022-01-08,2022,1,1,Saturday,Yes,No,CW002,Cold,13143,29.1,65,Sunny,92,260,21201.28,92.68,13,7.4,2.9,9.9,66.6,45,89.9,184.2
2022-01-08,2022,1,1,Saturday,Yes,No,LA001,Live Animal,11771,29.1,65,Sunny,31,4,154.61,2.54,1,0.7,0.0,4.0,13.3,19,93.3,132.82
2022-01-08,2022,1,1,Saturday,Yes,No,EX001,Express,14467,29.1,65,Sunny,69,174,3709.08,44.43,10,5.4,6.1,4.3,55.7,44,86.6,114.32
2022-01-08,2022,1,1,Saturday,Yes,No,DG001,Dangerous Goods,11016,29.1,65,Sunny,42,49,2995.99,8.68,2,2.2,0.4,4.6,27.1,18,93.5,108.11
2022-01-08,2022,1,1,Saturday,Yes,No,CW001,Cold,13828,29.1,65,Sunny,95,162,13403.35,64.27,7,5.2,1.9,10.5,61.5,45,94.4,179.67
2022-01-08,2022,1,1,Saturday,Yes,No,VW001,Valuable,4419,29.1,65,Sunny,64,31,163.98,1.29,1,2.3,0.2,2.4,36.1,11,87.0,70.48
2022-01-09,2022,1,1,Sunday,No,No,WH001,General,23238,31.4,63,Sunny,73,295,31292.82,173.04,16,8.3,5.3,4.5,66.3,58,95.7,84.97
2022-01-09,2022,1,1,Sunday,No,No,WH005,General,20253,31.4,63,Sunny,65,172,18132.12,112.34,7,5.4,3.3,4.9,53.2,50,88.3,79.62
2022-01-09,2022,1,1,Sunday,No,No,WH004,General,24074,31.4,63,Sunny,94,372,44000.55,181.84,23,10.3,6.2,5.0,82.3,68,95.4,89.07
2022-01-09,2022,1,1,Sunday,No,No,WH003,General,18204,31.4,63,Sunny,82,201,20781.42,131.71,10,6.7,3.6,5.2,60.1,48,98.5,82.06
2022-01-09,2022,1,1,Sunday,No,No,WH002,General,18912,31.4,63,Sunny,62,149,15629.42,80.95,8,5.1,2.9,5.0,51.8,46,90.6,84.8
2022-01-09,2022,1,1,Sunday,No,No,WH006,General,20006,31.4,63,Sunny,67,200,21819.19,96.54,8,5.9,4.0,5.1,56.2,66,91.3,88.41
2022-01-09,2022,1,1,Sunday,No,No,VW001,Valuable,4419,31.4,63,Sunny,35,22,328.02,2.15,1,0.8,0.2,2.9,15.7,9,96.0,69.91
2022-01-09,2022,1,1,Sunday,No,No,EX001,Express,14467,31.4,63,Sunny,69,219,3209.11,25.48,8,6.5,7.6,5.5,63.4,44,96.4,119.62
2022-01-09,2022,1,1,Sunday,No,No,DG001,Dangerous Goods,11016,31.4,63,Sunny,76,52,3268.78,8.27,3,3.0,0.2,5.3,46.8,19,92.1,108.76
2022-01-09,2022,1,1,Sunday,No,No,CW002,Cold,13143,31.4,63,Sunny,88,183,15061.25,52.58,11,6.0,2.0,10.6,64.0,38,91.3,185.29
2022-01-09,2022,1,1,Sunday,No,No,CW001,Cold,13828,31.4,63,Sunny,85,226,20223.42,82.89,10,6.7,2.4,10.5,63.2,49,91.5,178.99
2022-01-09,2022,1,1,Sunday,No,No,LA001,Live Animal,11771,31.4,63,Sunny,34,9,201.26,2.4,1,0.6,0.0,5.4,16.9,12,89.7,132.3
2022-01-10,2022,1,1,Monday,No,No,WH006,General,20006,31.4,68,Sunny,64,248,21989.8,91.22,11,7.6,4.8,4.9,60.8,63,98.9,83.64
2022-01-10,2022,1,1,Monday,No,No,WH005,General,20253,31.4,68,Sunny,71,182,20137.78,84.82,7,6.5,3.4,5.0,54.3,52,88.8,88.08
2022-01-10,2022,1,1,Monday,No,No,WH004,General,24074,31.4,68,Sunny,85,259,25825.83,105.54,11,7.8,4.4,4.9,75.2,58,96.2,83.37
2022-01-10,2022,1,1,Monday,No,No,WH003,General,18204,31.4,68,Sunny,66,195,22200.23,143.81,9,6.4,3.2,5.0,58.2,62,88.3,81.45
2022-01-10,2022,1,1,Monday,No,No,WH002,General,18912,31.4,68,Sunny,59,200,23755.43,148.37,8,6.5,3.9,4.6,57.1,52,93.4,80.54
2022-01-10,2022,1,1,Monday,No,No,WH001,General,23238,31.4,68,Sunny,88,238,26380.16,137.15,11,7.0,4.0,5.5,70.8,56,88.2,83.44
2022-01-10,2022,1,1,Monday,No,No,LA001,Live Animal,11771,31.4,68,Sunny,70,20,890.52,14.21,1,1.7,0.0,4.6,35.9,12,95.8,136.5
2022-01-10,2022,1,1,Monday,No,No,EX001,Express,14467,31.4,68,Sunny,81,198,2111.68,17.86,7,6.1,7.1,5.0,68.4,40,85.9,121.19
2022-01-10,2022,1,1,Monday,No,No,DG001,Dangerous Goods,11016,31.4,68,Sunny,75,90,6742.12,21.57,4,3.4,0.2,5.0,39.5,27,85.0,111.47
2022-01-10,2022,1,1,Monday,No,No,CW002,Cold,13143,31.4,68,Sunny,65,112,9023.85,40.73,6,4.1,1.4,10.7,41.6,41,86.7,173.48
2022-01-10,2022,1,1,Monday,No,No,CW001,Cold,13828,31.4,68,Sunny,66,140,15109.47,53.22,5,4.5,1.3,10.2,45.2,38,95.6,177.35
2022-01-10,2022,1,1,Monday,No,No,VW001,Valuable,4419,31.4,68,Sunny,56,34,233.69,1.4,1,2.3,0.1,3.0,36.1,10,90.5,69.91
2022-01-11,2022,1,1,Tuesday,No,No,WH002,General,18912,28.4,78,Fog,67,226,22437.05,98.37,9,6.7,3.6,4.0,60.4,62,89.7,79.95
2022-01-11,2022,1,1,Tuesday,No,No,WH006,General,20006,28.4,78,Fog,78,282,28288.6,136.84,11,7.9,5.0,4.0,64.9,57,92.4,84.53
2022-01-11,2022,1,1,Tuesday,No,No,WH005,General,20253,28.4,78,Fog,58,153,17112.65,89.77,6,5.5,2.9,4.6,49.7,59,85.5,76.8
2022-01-11,2022,1,1,Tuesday,No,No,WH004,General,24074,28.4,78,Fog,73,251,25811.99,116.39,14,7.7,4.3,3.7,63.8,64,88.8,89.17
2022-01-11,2022,1,1,Tuesday,No,No,WH003,General,18204,28.4,78,Fog,86,314,38299.34,189.67,19,9.2,5.2,4.2,78.0,65,86.4,86.49
2022-01-11,2022,1,1,Tuesday,No,No,WH001,General,23238,28.4,78,Fog,84,211,20411.66,132.22,11,7.3,3.6,3.9,70.1,64,88.5,86.63
2022-01-11,2022,1,1,Tuesday,No,No,CW001,Cold,13828,28.4,78,Fog,82,165,17954.57,88.62,9,5.4,1.8,10.1,53.7,50,88.0,180.02
2022-01-11,2022,1,1,Tuesday,No,No,LA001,Live Animal,11771,28.4,78,Fog,63,19,745.35,8.18,1,1.3,0.0,3.9,29.7,19,89.8,134.74
2022-01-11,2022,1,1,Tuesday,No,No,EX001,Express,14467,28.4,78,Fog,95,248,5336.15,59.93,10,8.1,8.1,3.7,78.5,46,98.1,117.03
2022-01-11,2022,1,1,Tuesday,No,No,DG001,Dangerous Goods,11016,28.4,78,Fog,70,69,4251.4,11.81,4,3.0,0.5,4.3,40.2,20,98.8,112.07
2022-01-11,2022,1,1,Tuesday,No,No,CW002,Cold,13143,28.4,78,Fog,96,185,15480.64,54.26,8,5.8,2.2,10.6,68.5,47,94.3,183.58
2022-01-11,2022,1,1,Tuesday,No,No,VW001,Valuable,4419,28.4,78,Fog,35,23,121.05,0.78,1,1.1,0.5,2.2,14.6,15,99.0,68.94
2022-01-12,2022,1,1,Wednesday,No,No,WH002,General,18912,28.6,81,Fog,64,190,21156.37,95.27,7,5.9,3.8,3.7,49.9,67,95.8,79.91
2022-01-12,2022,1,1,Wednesday,No,No,WH006,General,20006,28.6,81,Fog,65,227,27773.46,125.04,12,7.1,4.0,4.2,57.4,50,86.3,82.81
2022-01-12,2022,1,1,Wednesday,No,No,WH005,General,20253,28.6,81,Fog,78,323,34711.53,190.82,14,8.6,5.7,3.8,77.4,75,90.9,91.48
2022-01-12,2022,1,1,Wednesday,No,No,WH004,General,24074,28.6,81,Fog,58,170,17439.32,87.89,9,5.4,2.7,4.5,52.8,57,98.7,77.51
2022-01-12,2022,1,1,Wednesday,No,No,WH003,General,18204,28.6,81,Fog,68,259,28418.6,185.71,10,7.6,4.7,4.0,66.6,64,89.2,80.22
2022-01-12,2022,1,1,Wednesday,No,No,WH001,General,23238,28.6,81,Fog,88,295,35057.02,200.26,11,9.1,5.0,4.3,73.6,74,87.4,92.18
2022-01-12,2022,1,1,Wednesday,No,No,DG001,Dangerous Goods,11016,28.6,81,Fog,74,81,6029.78,18.51,5,3.0,0.5,4.0,44.2,23,93.4,109.11
2022-01-12,2022,1,1,Wednesday,No,No,LA001,Live Animal,11771,28.6,81,Fog,49,18,511.37,5.59,1,1.3,0.0,4.2,19.6,16,94.4,134.79
2022-01-12,2022,1,1,Wednesday,No,No,EX001,Express,14467,28.6,81,Fog,79,164,3108.4,31.53,6,5.9,5.9,4.3,64.4,37,92.3,117.96
2022-01-12,2022,1,1,Wednesday,No,No,VW001,Valuable,4419,28.6,81,Fog,22,6,32.33,0.19,1,0.6,0.2,2.7,15.7,13,87.3,71.22
2022-01-12,2022,1,1,Wednesday,No,No,CW002,Cold,13143,28.6,81,Fog,81,230,20923.87,87.06,15,6.6,2.6,9.8,57.2,54,95.7,178.49
2022-01-12,2022,1,1,Wednesday,No,No,CW001,Cold,13828,28.6,81,Fog,94,188,16253.41,69.08,12,5.9,2.1,10.5,61.1,37,96.9,180.58
2022-01-13,2022,1,1,Thursday,No,No,WH006,General,20006,29.1,83,Fog,58,243,22848.53,131.86,15,6.9,4.5,3.9,51.6,68,98.7,79.57
2022-01-13,2022,1,1,Thursday,No,No,WH005,General,20253,29.1,83,Fog,77,300,33371.66,148.49,16,8.2,5.4,4.8,66.9,74,95.4,84.08
2022-01-13,2022,1,1,Thursday,No,No,WH004,General,24074,29.1,83,Fog,72,242,21749.74,99.92,11,7.7,4.2,4.2,61.1,52,89.0,85.98
2022-01-13,2022,1,1,Thursday,No,No,WH003,General,18204,29.1,83,Fog,71,286,26509.5,151.78,12,7.9,5.5,4.8,69.2,69,89.4,83.64
2022-01-13,2022,1,1,Thursday,No,No,WH002,General,18912,29.1,83,Fog,85,221,25024.05,123.96,9,6.9,4.1,4.4,63.4,66,89.8,83.52
2022-01-13,2022,1,1,Thursday,No,No,WH001,General,23238,29.1,83,Fog,79,228,26873.55,154.25,9,7.6,3.7,3.8,62.8,56,90.7,87.43
2022-01-13,2022,1,1,Thursday,No,No,VW001,Valuable,4419,29.1,83,Fog,61,29,353.39,3.48,1,2.1,0.3,2.8,36.3,15,96.6,68.89
2022-01-13,2022,1,1,Thursday,No,No,LA001,Live Animal,11771,29.1,83,Fog,35,10,367.31,6.2,1,0.9,0.0,4.8,16.2,17,95.6,133.69
2022-01-13,2022,1,1,Thursday,No,No,EX001,Express,14467,29.1,83,Fog,79,160,2227.73,21.18,8,5.1,5.1,4.1,59.3,39,94.7,116.3
2022-01-13,2022,1,1,Thursday,No,No,DG001,Dangerous Goods,11016,29.1,83,Fog,56,43,2931.48,6.85,1,2.0,0.4,4.7,27.5,18,89.6,109.4
2022-01-13,2022,1,1,Thursday,No,No,CW002,Cold,13143,29.1,83,Fog,76,125,13739.39,57.32,5,4.2,1.5,10.6,44.0,42,93.0,172.64
2022-01-13,2022,1,1,Thursday,No,No,CW001,Cold,13828,29.1,83,Fog,95,229,22789.2,82.69,12,6.8,2.6,10.6,68.6,41,97.8,180.6
